Year,Month,Day,Observed Q (mm/day),Rainfall (mm/day),PET (mm/day)
1971,11,20,0.650621102,0,3.5902
1971,11,21,0.630697463,0,3.5579
1971,11,22,0.602935017,0,3.551
1971,11,23,0.59705591,0,3.6544
1971,11,24,0.581051677,0,3.6553
1971,11,25,0.581051677,0,3.6627
1971,11,26,0.56864023,0,3.5898
1971,11,27,0.54447057,0,3.5158
1971,11,28,0.542837485,0,3.5226
1971,11,29,0.424602125,0,3.4716
1971,11,30,0.391287189,0,3.4025
1971,12,1,0.42068272,0,3.3036
1971,12,2,0.408271274,0,3.2682
1971,12,3,0.405005103,0,3.2483
1971,12,4,0.398472763,0,3.2127
1971,12,5,0.388674252,0,3.1586
1971,12,6,0.378875742,0,3.2914
1971,12,7,0.362544891,0,3.2519
1971,12,8,0.359278721,0,3.261
1971,12,9,0.34948021,0,3.2053
1971,12,10,0.293955317,0,3.2638
1971,12,11,0.256067743,0,3.1982
1971,12,12,0.22895853,0,3.1722
1971,12,13,0.267825955,0,3.1919
1971,12,14,0.244962764,0,3.0044
1971,12,15,0.244636147,0,3.0961
1971,12,16,0.235817488,0,3.0673
1971,12,17,0.204788871,0,3.1267
1971,12,18,0.200869467,0,3.2288
1971,12,19,0.199236382,0,3.227
1971,12,20,0.197603296,0,3.2168
1971,12,21,0.195970211,0,3.1162
1971,12,22,0.195970211,0,3.151
1971,12,23,0.195970211,0,3.32
1971,12,24,0.194337126,0,3.4334
1971,12,25,0.194337126,0,3.3271
1971,12,26,0.192704041,0,3.3376
1971,12,27,0.192704041,0,3.3826
1971,12,28,0.191070956,0,3.2323
1971,12,29,0.191070956,0,3.2026
1971,12,30,0.189437871,0,3.1801
1971,12,31,0.189437871,0,3.2269
1972,1,1,0.187804786,0,3.3221
1972,1,2,0.186171701,0,3.4162
1972,1,3,0.186171701,0,3.3434
1972,1,4,0.186171701,0,3.4099
1972,1,5,0.184538616,0,3.4681
1972,1,6,0.184538616,0,3.4133
1972,1,7,0.182905531,0,3.3354
1972,1,8,0.182905531,0,3.3516
1972,1,9,0.181272445,0,3.3237
1972,1,10,0.181272445,0,3.2435
1972,1,11,0.17963936,0,3.4279
1972,1,12,0.178006275,0,3.6563
1972,1,13,0.17637319,0,3.492
1972,1,14,0.174740105,0,3.3199
1972,1,15,0.17310702,0,3.4089
1972,1,16,0.17310702,0,3.3297
1972,1,17,0.168207765,0,3.4145
1972,1,18,0.16657468,0,3.4604
1972,1,19,0.164941595,0,3.4345
1972,1,20,0.163308509,0,3.4675
1972,1,21,0.160042339,0,3.3869
1972,1,22,0.153509999,0,3.44
1972,1,23,0.151876914,0,3.6024
1972,1,24,0.138812233,0,3.6593
1972,1,25,0.137179148,0,3.7427
1972,1,26,0.137179148,0,3.787
1972,1,27,0.133912978,0,3.8891
1972,1,28,0.133912978,0.0053092,3.8171
1972,1,29,0.132279893,0.0039203,3.7372
1972,1,30,0.132279893,0,3.6531
1972,1,31,0.130646808,0,3.7501
1972,2,1,0.129013722,0,3.9366
1972,2,2,0.129013722,0,4.1583
1972,2,3,0.127380637,0.2619,4.0885
1972,2,4,0.125747552,0.2207,3.7295
1972,2,5,0.125747552,0.32092,3.1722
1972,2,6,0.124114467,0.12776,3.5229
1972,2,7,0.124114467,0,3.3944
1972,2,8,0.122481382,0,3.3935
1972,2,9,0.122481382,0,3.5064
1972,2,10,0.109416701,0,3.7179
1972,2,11,0.109416701,0,4.0206
1972,2,12,0.101251276,0.073544,4.21
1972,2,13,0.097985106,4.235,3.9001
1972,2,14,0.097985106,0.27263,3.6692
1972,2,15,0.097985106,0,3.6958
1972,2,16,0.096352021,0.35941,3.7101
1972,2,17,0.094718935,0.49839,3.7287
1972,2,18,0.094718935,0,3.7619
1972,2,19,0.09308585,0,3.9103
1972,2,20,0.091452765,0,4.1281
1972,2,21,0.08981968,0,4.3874
1972,2,22,0.08981968,0,4.6469
1972,2,23,0.08981968,0,4.7622
1972,2,24,0.088186595,0,4.6904
1972,2,25,0.088186595,0,4.8774
1972,2,26,0.08655351,0,4.9956
1972,2,27,0.084920425,0,4.8321
1972,2,28,0.084920425,0,4.7286
1972,2,29,0.084920425,0,5.0276
1972,3,1,0.08655351,0,4.9172
1972,3,2,0.08655351,0,4.9431
1972,3,3,0.084920425,0,5.1214
1972,3,4,0.08328734,0,5.3626
1972,3,5,0.096678638,0,5.1916
1972,3,6,0.081654255,0,5.2799
1972,3,7,0.081654255,0,5.1308
1972,3,8,0.081654255,0.60079,5.3225
1972,3,9,0.081654255,0.16891,5.6353
1972,3,10,0.106150531,0,5.5975
1972,3,11,0.103864212,0,5.5478
1972,3,12,0.108763467,0,5.5865
1972,3,13,0.098311723,0,5.7974
1972,3,14,0.097331872,0,5.9207
1972,3,15,0.103864212,0,5.8395
1972,3,16,0.100598042,0,5.8854
1972,3,17,0.102884361,0,5.9455
1972,3,18,0.084593808,0,6.3174
1972,3,19,0.097331872,0,6.1838
1972,3,20,0.090146297,0,6.0962
1972,3,21,0.080347787,0,6.2276
1972,3,22,0.079367936,0,6.3002
1972,3,23,0.080347787,0,6.1808
1972,3,24,0.075121914,0,6.3033
1972,3,25,0.075121914,0,6.3382
1972,3,26,0.075121914,0,6.5671
1972,3,27,0.073488829,0,6.7236
1972,3,28,0.073488829,0,6.8868
1972,3,29,0.073488829,0,6.9029
1972,3,30,0.074142063,0,6.7505
1972,3,31,0.073488829,0.06642,6.6963
1972,4,1,0.068262957,0,6.6252
1972,4,2,0.075775148,0.012343,6.6178
1972,4,3,0.072182361,0,6.7115
1972,4,4,0.069569425,0,6.8346
1972,4,5,0.070875893,0,6.6108
1972,4,6,0.069896042,0,6.639
1972,4,7,0.07120251,0,6.6298
1972,4,8,0.065976638,0,6.6749
1972,4,9,0.070549276,4.7925,6.6735
1972,4,10,0.069242808,2.7501,6.2743
1972,4,11,0.07120251,0.60079,6.0269
1972,4,12,0.064996787,1.6783,6.2151
1972,4,13,0.070875893,0.063486,6.3695
1972,4,14,0.066303255,0.0018145,6.616
1972,4,15,0.065650021,0.24713,6.6182
1972,4,16,0.064016936,0.018504,6.7417
1972,4,17,0.06467017,0,6.7058
1972,4,18,0.062710468,0,6.782
1972,4,19,0.063690319,0.00062724,6.5572
1972,4,20,0.064016936,0.4106,6.5977
1972,4,21,0.065976638,0.062634,6.9805
1972,4,22,0.064343553,0.02957,6.9383
1972,4,23,0.062383851,0,6.9782
1972,4,24,0.062057234,0,6.8805
1972,4,25,0.062383851,0,6.7141
1972,4,26,0.060750766,0,5.984
1972,4,27,0.061404,0,6.8719
1972,4,28,0.061077383,0,7.1035
1972,4,29,0.060097531,0,7.2066
1972,4,30,0.059770914,0.11275,7.4884
1972,5,1,0.050299021,0.003853,7.3667
1972,5,2,0.058464446,0.14057,6.9408
1972,5,3,0.050952255,0.22731,6.19
1972,5,4,0.049972404,0,6.6963
1972,5,5,0.04931917,0,6.9888
1972,5,6,0.051932106,0,7.1764
1972,5,7,0.063037085,0,6.9718
1972,5,8,0.055524893,0,6.9686
1972,5,9,0.050952255,0,7.5182
1972,5,10,0.045073149,0,7.6676
1972,5,11,0.045726383,0,7.9013
1972,5,12,0.046379617,0,7.9088
1972,5,13,0.047032851,0,7.7031
1972,5,14,0.057484595,0.1744,7.5489
1972,5,15,0.044419915,0,7.0751
1972,5,16,0.048665936,1.153,7.5738
1972,5,17,0.043113446,0,7.6688
1972,5,18,0.042460212,0,8.0775
1972,5,19,0.04050051,0,7.7882
1972,5,20,0.041153744,0,7.2026
1972,5,21,0.039194042,0,7.1897
1972,5,22,0.042786829,0,7.1509
1972,5,23,0.039520659,0,7.4428
1972,5,24,0.039194042,0,7.5482
1972,5,25,0.03723434,0,7.7578
1972,5,26,0.035927872,0,7.9532
1972,5,27,0.035927872,0,7.7991
1972,5,28,0.034948021,0,7.732
1972,5,29,0.03723434,0,7.8499
1972,5,30,0.03723434,0,7.9978
1972,5,31,0.037560957,0,7.9809
1972,6,1,0.035274638,0,7.7839
